id,uniqueid,pid,datetime,trial_id,which_item,resp,correct,rt,age,gender,race,income,employed,edu,dad_edu,mom_edu,confidence,puzzles,prev_test,max_trials
1,i090615,945980,1662485419178,0,1,5,1,15538,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485453446,1,2,1,1,34268,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485463501,2,3,7,1,10055,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485469868,3,4,4,1,6367,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485499608,4,5,7,0,29740,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485523680,5,6,1,1,24072,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485534531,6,7,2,0,10851,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485551556,7,8,2,0,17025,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485559651,8,9,8,1,8095,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485568163,9,10,7,0,8512,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485579384,10,11,5,1,11221,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485593608,11,12,6,1,14224,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485611961,12,13,2,1,18352,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485638763,13,14,1,1,26802,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485659541,14,15,2,1,20778,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485672008,15,16,4,1,12467,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485698641,16,17,3,0,26633,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485743800,17,18,7,1,45159,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485764855,18,19,3,1,21055,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485785691,19,20,7,0,20836,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485802108,20,21,8,1,16417,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485822050,21,22,5,0,19942,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485858240,22,23,4,0,36190,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485901310,23,24,1,0,43070,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485922345,24,25,1,0,21035,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485970496,25,26,8,0,48151,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662485993207,26,27,8,0,22711,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486007398,27,28,3,0,14190,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486021658,28,29,2,0,14260,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486039636,29,30,1,0,17978,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486077094,30,31,4,1,37458,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486111654,31,32,1,0,34560,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486140792,32,33,8,0,29138,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486231056,33,34,2,0,90264,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486269562,34,35,1,0,38506,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
1,i090615,945980,1662486297916,35,36,4,0,28353,20,Female,White,5000-11999,Yes,SomeColl,GradHS,BachelorDegree,18,Yes,No,36
2,f788558,593875,1662485837636,0,1,5,1,16539,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485867331,1,2,1,1,29695,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485895466,2,3,7,1,28135,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485921903,3,4,4,1,26437,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485938772,4,5,3,1,16869,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485956091,5,6,1,1,17318,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662485981010,6,7,6,1,24919,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486015792,7,8,1,1,34782,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486037058,8,9,8,1,21266,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486070373,9,10,4,1,33315,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486100719,10,11,5,1,30346,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486127225,11,12,6,1,26506,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486185900,12,13,2,1,58674,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486218296,13,14,1,1,32395,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486252778,14,15,2,1,34482,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486288213,15,16,4,1,35435,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486340366,16,17,6,1,52153,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486381526,17,18,7,1,41160,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486458919,18,19,3,1,77393,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486653193,19,20,8,1,194274,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662486723831,20,21,8,1,70638,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487039498,21,22,5,0,315667,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487166134,22,23,8,0,126635,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487231641,23,24,3,1,65507,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487334827,24,25,4,0,103185,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487492808,25,26,2,1,157981,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487520772,26,27,7,1,27964,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487625725,27,28,2,0,104952,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487703697,28,29,3,0,77972,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487767381,29,30,2,0,63684,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487817706,30,31,2,0,50324,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487897363,31,32,7,0,79657,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662487966921,32,33,4,0,69558,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662488022744,33,34,1,1,55823,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662488053755,34,35,1,0,31011,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
2,f788558,593875,1662488169770,35,36,8,0,116015,34,Female,Black or African American,75000-99999,Yes,BachelorDegree,GradHS,GradHS,10,Yes,No,36
3,b110375,631356,1662485963327,0,1,7,0,15478,29,Male,Black or African American,100000+,Yes,BachelorDegree,BachelorDegree,BachelorDegree,30,Yes,No,36
3,b110375,631356,1662485988773,1,2,1,1,25446,29,Male,Black or African American,100000+,Yes,BachelorDegree,BachelorDegree,BachelorDegree,30,Yes,No,36
3,b110375,631356,1662486012545,2,3,7,1,23771,29,Male,Black or African American,100000+,Yes,BachelorDegree,BachelorDegree,BachelorDegree,30,Yes,No,36
